sub_event_id;subscription_id;event_date;event_type;event_details;plan_tier;seats;billing_frequency;auto_renew_status;mrr_amount;arr_amount
135;S-7bebc1;2024-08-27;Update;Seat Downgrade;Basic;24;annual;Active;456;5472
136;S-056af2;2024-09-05;Update;Plan Upgrade;Enterprise;75;monthly;Active;14925;179100
137;S-41ea32;2024-10-22;Cancel;;Basic;24;monthly;Active;456;5472
138;S-084e4f;2024-11-22;Update;Seat Upgrade;Basic;25;annual;Inactive;475;5700
139;S-606d6d;2024-12-01;Update;Plan Upgrade;Enterprise;14;monthly;Active;2786;33432
140;S-d041d2;2024-12-01;;;Pro;2;monthly;Active;0;0
141;S-8a37c8;2024-12-09;Conversion;;Pro;8;monthly;Active;392;4704
142;S-62c088;2024-12-09;Update;Plan Upgrade;Enterprise;85;monthly;Active;16915;202980
143;S-5bc277;2023-07-12;Create;;Basic;9;annual;Active;171;2052
144;S-672dd6;2023-08-03;Update;Plan Upgrade;Enterprise;16;monthly;Active;3184;38208
145;S-98f176;2023-08-14;;;Basic;55;annual;Active;0;0
146;S-c92850;2023-09-30;Conversion;;Pro;22;annual;Active;1078;12936
147;S-474b5a;2023-11-26;Update;Plan Downgrade;Basic;11;annual;Inactive;209;2508
148;S-61efc1;2023-11-27;;;Pro;9;monthly;Inactive;0;0
149;S-5a1fc3;2024-01-29;Conversion;;Enterprise;13;monthly;Active;2587;31044
150;S-02508a;2024-02-04;Update;Plan Downgrade;Basic;28;annual;Active;532;6384
151;S-b11cdb;2024-08-05;Cancel;;Basic;24;annual;Active;456;5472
152;S-eb84b1;2024-08-24;Update;Plan Downgrade;Pro;9;monthly;Inactive;441;5292
153;S-81e9f1;2024-09-10;Update;Plan Downgrade;Basic;9;monthly;Active;171;2052
154;S-a3e1e3;2024-09-26;;;Enterprise;9;monthly;Active;0;0
155;S-3ee288;2024-10-01;Conversion;;Enterprise;19;annual;Active;3781;45372
156;S-22365f;2023-06-11;Create;;Enterprise;32;annual;Active;6368;76416
157;S-62af97;2023-06-30;Update;Plan Downgrade;Pro;46;annual;Inactive;2254;27048
158;S-27e9ad;2023-10-18;Update;Plan Downgrade;Basic;32;annual;Active;608;7296
159;S-00866d;2023-10-31;Update;;Basic;32;annual;Active;608;7296
160;S-1883dc;2024-02-28;Update;Seat Upgrade;Basic;56;annual;Active;1064;12768
161;S-42f3be;2024-04-29;Update;Plan Upgrade;Enterprise;32;monthly;Active;6368;76416
162;S-3a57be;2024-05-15;Update;Plan Downgrade;Pro;32;monthly;Active;1568;18816
163;S-d02277;2024-06-11;Update;Plan Upgrade;Enterprise;92;monthly;Active;18308;219696
164;S-597873;2024-07-09;Update;Seat Downgrade;Enterprise;32;monthly;Active;6368;76416
165;S-afea79;2024-08-16;Update;Plan Downgrade;Pro;32;annual;Inactive;1568;18816
166;S-0ab9fb;2024-10-22;Update;Seat Upgrade;Pro;65;annual;Active;3185;38220
167;S-e5bed6;2024-11-23;Update;Seat Downgrade;Pro;58;annual;Active;2842;34104
168;S-86fd71;2024-10-27;Create;;Enterprise;60;annual;Active;11940;143280
169;S-1ebe39;2024-11-02;Update;Seat Downgrade;Enterprise;19;annual;Active;3781;45372
170;S-c9da7a;2024-11-10;Update;Plan Downgrade;Basic;16;monthly;Active;304;3648
171;S-510009;2024-11-16;Update;Plan Upgrade;Enterprise;16;monthly;Active;3184;38208
172;S-e1820e;2024-11-24;Update;Seat Upgrade;Enterprise;19;annual;Active;3781;45372
173;S-4b7873;2024-11-25;Update;Plan Downgrade;Basic;16;annual;Active;304;3648
174;S-f409d8;2024-12-04;Update;Plan Upgrade;Enterprise;16;annual;Active;3184;38208
175;S-82b11e;2024-12-06;Update;Plan Downgrade;Basic;21;annual;Active;399;4788
176;S-1bbdb1;2024-12-13;;;Basic;54;annual;Inactive;0;0
177;S-7fa78f;2024-12-13;Conversion;;Enterprise;16;monthly;Active;3184;38208
178;S-16486d;2024-12-15;Update;Plan Downgrade;Pro;16;monthly;Active;784;9408
179;S-8ea942;2024-12-19;;;Enterprise;36;annual;Active;0;0
180;S-d44088;2024-12-21;;;Pro;16;annual;Active;0;0
181;S-e62fc9;2024-12-23;Conversion;;Pro;16;monthly;Inactive;784;9408
182;S-8c10c1;2024-12-25;Update;Plan Upgrade;Enterprise;65;annual;Active;12935;155220
183;S-76767f;2023-10-28;Create;;Pro;35;monthly;Active;1715;20580
184;S-07c0da;2024-01-02;;;Pro;35;annual;Active;0;0
185;S-d747bc;2024-03-17;Conversion;;Basic;35;monthly;Active;665;7980
186;S-4b75c6;2024-04-13;Update;Plan Upgrade;Enterprise;35;annual;Active;6965;83580
187;S-80632f;2024-07-06;Update;Plan Downgrade;Pro;35;monthly;Inactive;1715;20580
188;S-03a5b0;2024-07-13;Update;Plan Upgrade;Enterprise;35;monthly;Active;6965;83580
189;S-3199cf;2024-07-20;Update;Plan Downgrade;Pro;35;monthly;Active;1715;20580
190;S-6d6bde;2024-10-14;Update;Plan Downgrade;Basic;35;monthly;Active;665;7980
191;S-2ec763;2024-12-03;Update;Plan Upgrade;Pro;35;monthly;Active;1715;20580
192;S-4690b3;2024-12-16;Cancel;;Enterprise;35;monthly;Active;6965;83580
193;S-0ae33f;2023-07-14;Create;;Pro;103;annual;Active;5047;60564
194;S-e05562;2023-11-08;Update;Seat Downgrade;Pro;17;monthly;Active;833;9996
195;S-1c3522;2023-11-26;;;Pro;17;annual;Active;0;0
196;S-067edc;2023-11-30;;;Pro;23;monthly;Active;0;0
197;S-d1c9e3;2024-01-09;Conversion;;Basic;17;annual;Active;323;3876
198;S-d93967;2024-01-11;Update;Plan Upgrade;Pro;50;monthly;Inactive;2450;29400
199;S-434140;2024-02-25;Update;Seat Downgrade;Pro;17;annual;Active;833;9996
200;S-9c6bd0;2024-04-11;Update;Plan Downgrade;Basic;17;monthly;Active;323;3876
201;S-b7feb8;2024-05-08;Update;Seat Upgrade;Basic;37;annual;Inactive;703;8436
202;S-ce7c30;2024-07-02;Update;Plan Upgrade;Enterprise;17;monthly;Active;3383;40596
203;S-c6287d;2024-07-25;Update;Plan Downgrade;Pro;17;monthly;Active;833;9996
204;S-3ba19e;2024-08-10;;;Basic;49;annual;Active;0;0
205;S-f4335b;2024-08-19;Conversion;;Enterprise;17;annual;Inactive;3383;40596
206;S-da7360;2024-10-26;Update;Plan Downgrade;Basic;42;monthly;Active;798;9576
207;S-85caaf;2023-06-03;Create;;Pro;2;annual;Active;98;1176
208;S-fcfb31;2023-10-03;;;Enterprise;31;monthly;Inactive;0;0
209;S-a83bf1;2023-11-04;Conversion;;Basic;40;monthly;Inactive;760;9120
210;S-5bb13f;2024-01-10;Update;Plan Upgrade;Enterprise;15;monthly;Inactive;2985;35820
211;S-883efd;2024-06-09;;;Pro;2;monthly;Active;0;0
212;S-a53e06;2024-06-14;Conversion;;Basic;3;annual;Inactive;57;684
213;S-50a388;2024-06-18;;;Pro;34;annual;Active;0;0
214;S-2843fe;2024-06-26;;;Basic;2;monthly;Active;0;0
215;S-292c06;2024-07-11;Conversion;;Pro;26;monthly;Active;1274;15288
216;S-d62a15;2024-08-08;Update;Plan Upgrade;Enterprise;10;annual;Active;1990;23880
217;S-46eb1c;2024-10-13;Update;Plan Downgrade;Basic;11;annual;Inactive;209;2508
218;S-00837c;2024-11-15;Cancel;;Enterprise;43;annual;Inactive;8557;102684
219;S-1e1853;2024-11-25;Cancel;;Enterprise;26;monthly;Active;5174;62088
220;S-00b0bc;2024-12-12;;;Enterprise;9;annual;Active;0;0
221;S-bbe998;2024-07-01;Create;;Pro;14;annual;Active;686;8232
222;S-d50f1d;2024-07-02;;;Basic;29;annual;Active;0;0
223;S-42daaa;2024-08-07;Conversion;;Basic;77;annual;Inactive;1463;17556
224;S-69937b;2024-08-08;Update;Plan Downgrade;Pro;14;annual;Inactive;686;8232
225;S-7d55dc;2024-09-01;Update;Plan Upgrade;Enterprise;30;annual;Active;5970;71640
226;S-711820;2024-09-02;Update;Plan Downgrade;Basic;49;annual;Inactive;931;11172
227;S-7f219a;2024-09-28;Update;Plan Downgrade;Pro;14;monthly;Active;686;8232
228;S-8e3b74;2024-11-06;Update;Plan Upgrade;Enterprise;29;monthly;Inactive;5771;69252
229;S-101401;2024-12-05;Update;Plan Downgrade;Pro;58;monthly;Active;2842;34104
230;S-39a28e;2024-12-26;;;Enterprise;14;monthly;Active;0;0
231;S-6b534f;2024-12-31;Conversion;;Enterprise;14;monthly;Active;2786;33432
232;S-a67bb7;2024-09-19;Create;;Enterprise;70;monthly;Active;13930;167160
233;S-39a5a7;2024-09-22;Update;Plan Downgrade;Basic;70;monthly;Active;1330;15960
234;S-fdb8f1;2024-09-23;Update;Plan Upgrade;Enterprise;70;annual;Active;13930;167160
235;S-383ac2;2024-10-22;;;Basic;70;monthly;Inactive;0;0
236;S-7d4240;2024-11-11;Conversion;;Basic;70;monthly;Active;1330;15960
237;S-5f4afc;2024-11-15;Update;Plan Upgrade;Pro;70;monthly;Active;3430;41160
238;S-83a9a4;2024-11-26;Update;;Pro;70;annual;Active;3430;41160
239;S-1fd72a;2024-11-27;Update;;Pro;70;annual;Active;3430;41160
240;S-e5d9a4;2024-12-07;Update;Plan Upgrade;Enterprise;70;annual;Active;13930;167160
241;S-fb0905;2024-12-10;Update;Plan Downgrade;Basic;70;annual;Active;1330;15960
242;S-d98caa;2024-12-29;Update;Plan Upgrade;Enterprise;70;annual;Active;13930;167160
243;S-a81bcd;2024-04-11;Create;;Basic;67;annual;Inactive;1273;15276
244;S-0e43ee;2024-05-28;Update;Plan Upgrade;Enterprise;67;monthly;Active;13333;159996
245;S-8055fa;2024-08-03;Cancel;;Basic;67;monthly;Active;1273;15276
246;S-106bf6;2024-08-04;Update;;Basic;67;monthly;Active;1273;15276
247;S-d9f518;2024-11-14;Update;Plan Upgrade;Pro;67;annual;Active;3283;39396
248;S-a18bb2;2024-12-22;Update;;Pro;67;monthly;Active;3283;39396
249;S-94aaef;2023-12-10;Create;;Pro;35;annual;Inactive;1715;20580
250;S-091a8d;2024-02-24;;;Pro;23;monthly;Active;0;0
251;S-8dd1f6;2024-03-24;Conversion;;Pro;12;monthly;Inactive;588;7056
252;S-5521f5;2024-04-13;Update;Seat Upgrade;Pro;25;monthly;Inactive;1225;14700
253;S-9a8646;2024-04-29;Update;Plan Downgrade;Basic;10;monthly;Active;190;2280
254;S-8f9410;2024-07-19;Update;Plan Upgrade;Enterprise;3;annual;Active;597;7164
255;S-1862f2;2024-07-29;Cancel;;Basic;29;annual;Active;551;6612
256;S-0337da;2024-09-02;Update;Plan Upgrade;Enterprise;29;monthly;Active;5771;69252
257;S-ab7a04;2024-09-05;Update;Plan Downgrade;Basic;7;annual;Active;133;1596
258;S-daf6aa;2024-10-27;Update;Seat Upgrade;Basic;40;monthly;Active;760;9120
259;S-27c993;2024-11-17;Update;Plan Upgrade;Enterprise;4;monthly;Active;796;9552
260;S-a346d6;2024-08-31;Create;;Enterprise;19;annual;Active;3781;45372
261;S-973e8e;2024-09-28;Cancel;;Enterprise;6;annual;Active;1194;14328
262;S-f32440;2024-10-06;Update;Plan Downgrade;Basic;40;monthly;Active;760;9120
263;S-b037c5;2024-10-07;Update;Plan Upgrade;Pro;20;annual;Active;980;11760
264;S-45baa6;2024-10-08;Update;Seat Downgrade;Pro;4;monthly;Active;196;2352
265;S-3b98b1;2024-10-10;Update;Plan Upgrade;Enterprise;29;monthly;Active;5771;69252
266;S-fc7e8e;2024-10-11;Update;Seat Downgrade;Enterprise;2;monthly;Active;398;4776
267;S-d6106b;2024-10-16;Update;Plan Downgrade;Basic;6;monthly;Active;114;1368
268;S-f615d2;2024-10-23;Update;Plan Upgrade;Pro;18;monthly;Active;882;10584
269;S-04fd47;2024-10-27;Update;Plan Downgrade;Basic;12;annual;Active;228;2736
270;S-561d54;2024-11-10;Update;Plan Downgrade;Pro;1;annual;Active;49;588
271;S-22eb3c;2024-12-20;Update;Plan Upgrade;Basic;60;monthly;Active;1140;13680
272;S-897d69;2024-12-20;Update;Plan Upgrade;Pro;55;monthly;Active;2695;32340
273;S-ce5450;2024-12-25;;;Pro;8;annual;Active;0;0
274;S-9c414f;2024-12-27;Conversion;;Pro;2;annual;Active;98;1176
275;S-c62bb7;2024-09-16;Create;;Enterprise;16;monthly;Active;3184;38208
276;S-561850;2024-10-23;Update;Plan Downgrade;Pro;16;annual;Active;784;9408
277;S-e7a190;2024-12-06;Update;Plan Downgrade;Basic;22;annual;Active;418;5016
278;S-d8c527;2024-12-21;Update;Seat Upgrade;Basic;25;monthly;Active;475;5700
279;S-f97537;2024-06-16;Create;;Pro;37;monthly;Inactive;1813;21756
280;S-4522a0;2024-07-16;;;Basic;18;annual;Inactive;0;0
281;S-76c59f;2024-08-01;Conversion;;Basic;24;annual;Active;456;5472
282;S-a9952f;2024-08-18;;;Pro;11;monthly;Active;0;0
283;S-b89305;2024-11-09;Conversion;;Basic;4;monthly;Active;76;912
284;S-52385a;2024-11-13;Update;Seat Downgrade;Basic;3;monthly;Active;57;684
285;S-f15008;2024-12-07;Cancel;;Pro;12;annual;Inactive;588;7056
286;S-e7d026;2024-12-25;Update;Plan Upgrade;Enterprise;88;annual;Active;17512;210144
287;S-88d746;2024-12-26;Update;Seat Downgrade;Enterprise;18;monthly;Active;3582;42984
288;S-a69aed;2024-12-30;Create;;Basic;3;monthly;Active;57;684
289;S-a405f7;2024-12-30;Update;Plan Upgrade;Pro;22;annual;Active;1078;12936
290;S-6ef81d;2024-12-30;Cancel;;Basic;25;annual;Active;475;5700
291;S-196e49;2024-12-30;Update;Seat Downgrade;Basic;12;monthly;Active;228;2736
292;S-ef2703;2024-12-30;Update;Plan Upgrade;Enterprise;36;annual;Active;7164;85968
293;S-b35b20;2024-12-31;Update;Plan Downgrade;Pro;3;monthly;Active;147;1764
294;S-b81c97;2024-12-31;Update;Seat Upgrade;Pro;18;monthly;Active;882;10584
295;S-246942;2024-12-31;Update;Plan Upgrade;Enterprise;45;monthly;Active;8955;107460
296;S-3236ee;2024-12-31;Update;Plan Downgrade;Basic;13;monthly;Active;247;2964
297;S-7e145e;2024-12-31;Update;Plan Upgrade;Enterprise;52;annual;Active;10348;124176
298;S-5e0619;2024-12-31;Update;Plan Downgrade;Pro;6;annual;Active;294;3528
299;S-6f47c5;2024-12-31;Cancel;;Enterprise;13;annual;Active;2587;31044
300;S-5c4dd7;2024-12-31;Update;Plan Downgrade;Pro;21;annual;Active;1029;12348
301;S-3c3a3e;2024-06-02;Create;;Enterprise;29;annual;Active;5771;69252
302;S-afc545;2024-10-14;Update;Plan Downgrade;Basic;33;annual;Active;627;7524
303;S-21ebb6;2024-10-27;Update;Plan Upgrade;Enterprise;31;annual;Active;6169;74028
304;S-1fabe5;2024-12-10;Update;Plan Downgrade;Basic;19;monthly;Active;361;4332
305;S-e50d84;2024-12-11;Update;Plan Upgrade;Enterprise;14;annual;Active;2786;33432
306;S-33df6f;2024-12-11;Cancel;;Enterprise;14;monthly;Active;2786;33432
307;S-22014f;2024-10-21;Create;;Basic;19;annual;Active;361;4332
308;S-e6571c;2024-11-03;Cancel;;Basic;19;annual;Active;361;4332
309;S-f9a56a;2024-11-19;Update;Seat Upgrade;Basic;24;monthly;Inactive;456;5472
310;S-9bb9da;2024-12-24;;;Pro;26;monthly;Active;0;0
311;S-c77c84;2024-12-31;;;Basic;19;monthly;Inactive;0;0
312;S-1351ac;2024-07-27;Create;;Enterprise;45;monthly;Active;0;0
313;S-658bcb;2024-08-14;Conversion;;Enterprise;45;monthly;Active;8955;107460
314;S-d29575;2024-09-01;Update;;Enterprise;45;monthly;Active;8955;107460
315;S-149409;2024-09-15;;;Pro;45;monthly;Active;0;0
316;S-486088;2024-09-18;Conversion;;Pro;45;monthly;Active;2205;26460
317;S-ff2761;2024-09-25;Update;Plan Downgrade;Basic;45;monthly;Active;855;10260
318;S-6ca46a;2024-09-25;Update;Plan Upgrade;Enterprise;53;annual;Active;10547;126564
319;S-3f48a5;2024-10-04;Update;Plan Downgrade;Basic;45;monthly;Inactive;855;10260
