usage_id;subscription_id;usage_date;feature_name;usage_count;usage_duration_mins;logged_errors_count;is_beta_feature
U-ec4d4d;S-0146f6;2024-07-06;feature_40;7;40,7;0;
U-cfe4da;S-016b5f;2024-06-25;feature_20;12;52,0;0;
U-85168e;S-016b5f;2023-03-03;feature_15;6;37,4;3;
U-2e5289;S-016b5f;2024-01-12;feature_20;7;25,9;2;
U-e36b79;S-016b5f;2023-12-22;feature_24;9;66,6;0;
U-ad1835;S-016b5f;2024-01-12;feature_19;12;31,4;1;
U-ec609d;S-017e33;2023-02-04;feature_38;4;6,5;0;
U-f00d68;S-017e33;2024-05-26;feature_37;5;44,0;1;
U-99e6bf;S-017e33;2023-12-06;feature_9;10;60,3;4;
U-a2d7db;S-017e33;2024-05-07;feature_17;8;46,0;0;Beta
U-a7f0c8;S-017e33;2024-03-29;feature_34;9;72,9;0;
U-59fe7a;S-017e33;2024-11-06;feature_29;12;19,8;0;
U-b172f9;S-017e33;2023-04-14;feature_25;13;63,7;2;
U-008444;S-018501;2023-01-14;feature_16;8;26,4;0;
U-3c9942;S-018501;2024-11-05;feature_37;9;62,1;0;Beta
U-8b5dcc;S-018501;2023-05-26;feature_9;10;56,2;1;
U-ca1bcc;S-018501;2023-09-30;feature_22;10;60,2;0;
U-dca87f;S-018501;2023-04-28;feature_1;13;34,7;2;Beta
U-7e781b;S-018501;2023-09-11;feature_25;12;32,4;0;
U-2d1e77;S-0185ce;2023-11-19;feature_39;13;63,1;0;
U-8b47c8;S-0185ce;2024-02-13;feature_7;18;5,4;3;
U-744e9a;S-0185ce;2023-01-02;feature_40;16;54,4;0;Beta
U-8f0f46;S-01990c;2023-09-18;feature_27;3;20,1;2;
U-bff7bd;S-01ae7f;2023-01-03;feature_4;9;3,9;0;Beta
U-d816be;S-01ae7f;2024-09-10;feature_10;11;28,1;0;
U-5aeb59;S-01ae7f;2023-03-10;feature_12;8;62,7;0;
U-37de0f;S-01ae7f;2023-03-07;feature_19;15;94,3;0;
U-d466bb;S-01ae7f;2023-03-19;feature_34;7;32,0;1;
U-98ca80;S-01ae7f;2023-01-04;feature_22;8;70,8;1;
U-740b9b;S-01ae7f;2024-09-23;feature_31;12;109,2;0;
U-b77e0d;S-01ae7f;2024-07-08;feature_10;15;89,5;0;
U-9bb910;S-01ae7f;2024-08-08;feature_28;6;5,5;2;
U-c23d0b;S-01ae7f;2023-11-14;feature_38;9;45,8;0;
U-a9b8ce;S-01afa4;2023-01-27;feature_33;11;103,6;0;
U-94dbc3;S-01afa4;2024-06-21;feature_1;13;103,1;0;
U-bca217;S-01afa4;2023-01-20;feature_1;7;43,6;0;
U-feb5e8;S-01afa4;2023-09-16;feature_17;13;16,5;1;
U-199043;S-01b2dc;2023-09-05;feature_7;7;14,1;0;
U-0494c4;S-01b2dc;2024-11-29;feature_2;11;99,2;2;
U-947ad8;S-01b2dc;2024-10-16;feature_26;9;11,9;2;
U-746780;S-01b2dc;2024-05-15;feature_35;10;18,0;2;
U-0c9318;S-01b2dc;2023-12-11;feature_9;5;17,7;3;
U-acdc40;S-01b2dc;2023-06-05;feature_27;5;28,3;0;
U-f43d29;S-01b2dc;2024-02-06;feature_9;12;18,8;0;
U-3e0372;S-01bbfe;2024-10-14;feature_31;8;12,5;0;
U-e06278;S-01bbfe;2023-12-26;feature_38;11;52,1;0;
U-46c99c;S-01bbff;2023-10-01;feature_9;14;53,2;0;
U-44f4ee;S-01bbff;2023-03-13;feature_33;6;59,7;0;
U-18fc0c;S-01bbff;2023-06-11;feature_40;9;1,7;0;
U-3d35fa;S-01daf5;2023-11-23;feature_4;8;21,7;0;
U-bbbf33;S-01daf5;2023-08-25;feature_26;9;27,9;0;
U-eb6828;S-01daf5;2024-12-19;feature_2;16;50,7;0;
U-eb759d;S-01daf5;2023-12-01;feature_7;9;14,0;0;Beta
U-3bd08b;S-01daf5;2024-01-11;feature_40;13;90,1;0;
U-bec0d6;S-01daf5;2023-09-08;feature_8;13;94,7;1;
U-abbb90;S-01fa46;2024-05-17;feature_31;10;40,2;2;
U-e41e2d;S-01fa46;2023-05-16;feature_13;9;87,3;0;
U-74c0c5;S-01fa46;2024-11-29;feature_38;11;35,9;0;
U-76894e;S-01fa46;2023-03-21;feature_34;11;10,1;0;
U-4b9c68;S-01fa46;2024-10-05;feature_32;11;14,9;1;
U-bd8db1;S-01fa46;2023-08-16;feature_30;13;89,1;0;
U-6a9e7e;S-020222;2024-12-16;feature_13;5;9,3;0;
U-cdb018;S-020222;2024-10-21;feature_28;9;45,8;0;
U-c3c0c7;S-020222;2024-08-12;feature_25;12;23,8;1;
U-131c5f;S-020222;2024-03-20;feature_21;11;101,6;1;
U-d43d59;S-020222;2023-07-11;feature_14;10;99,5;1;
U-ce71d7;S-0206eb;2023-12-23;feature_25;10;59,3;0;
U-a783b4;S-0206eb;2023-09-12;feature_14;14;87,5;0;
U-608a28;S-0206eb;2024-12-30;feature_38;7;5,1;0;
U-010484;S-0206eb;2023-02-20;feature_31;6;4,9;0;Beta
U-90d7da;S-0206eb;2023-05-13;feature_31;9;16,8;0;
U-0d442d;S-0206eb;2024-11-02;feature_9;6;30,1;0;Beta
U-eb3500;S-0206eb;2023-11-11;feature_5;13;120,5;1;
U-dc742e;S-020dce;2024-10-28;feature_8;7;15,1;0;
U-999b1e;S-021004;2024-02-25;feature_6;9;87,9;0;
U-dee815;S-021297;2024-12-05;feature_12;10;66,2;0;
U-58b101;S-021297;2024-03-09;feature_2;11;10,1;0;
U-d756cf;S-021985;2023-10-21;feature_1;11;61,8;0;Beta
U-b21827;S-021985;2023-12-27;feature_13;9;28,8;0;
U-3031f0;S-021985;2023-07-21;feature_13;12;36,0;3;
U-2f529f;S-021985;2024-01-09;feature_32;13;10,6;0;
U-4cfbc6;S-021985;2024-08-12;feature_5;11;48,8;0;
U-d71921;S-021ca9;2023-03-21;feature_15;8;67,1;0;
U-fe21f5;S-021ca9;2024-04-13;feature_14;11;82,3;0;
U-486860;S-021ca9;2024-12-17;feature_16;14;103,1;0;
U-0f202e;S-021ca9;2023-05-03;feature_8;7;52,4;0;Beta
U-72b902;S-022a1e;2023-08-29;feature_10;11;32,6;0;
U-5bbfb2;S-022a1e;2024-07-19;feature_38;10;16,2;0;
U-9eba60;S-022a1e;2024-05-04;feature_5;5;40,6;0;
U-5197d3;S-022a1e;2024-05-09;feature_11;8;61,6;0;
U-510e7b;S-022a1e;2023-04-05;feature_21;5;46,3;0;
U-2962d0;S-022a1e;2023-06-07;feature_25;5;29,2;0;Beta
U-4ef8dc;S-023f3c;2024-01-22;feature_17;3;13,4;0;
U-591bdc;S-023f3c;2023-04-28;feature_2;15;31,3;0;
U-3613d9;S-023f3c;2023-07-30;feature_24;11;13,9;0;
U-47c346;S-023f3c;2024-05-02;feature_36;9;45,8;4;
U-40a999;S-023f3c;2024-09-14;feature_17;9;27,2;2;
U-10a5ad;S-023f3c;2024-03-05;feature_25;13;24,3;0;
U-7eebdf;S-023f5f;2023-05-15;feature_34;11;21,5;0;Beta
U-632401;S-023f5f;2023-01-23;feature_37;16;113,6;0;
U-1c492f;S-023f5f;2024-04-22;feature_32;8;23,9;1;
U-383d46;S-023f5f;2024-03-11;feature_7;9;39,8;0;
U-3aa309;S-023f5f;2024-11-22;feature_38;8;35,5;0;
U-ee88ab;S-023f5f;2024-01-20;feature_23;8;60,1;0;
U-7b6f55;S-02508a;2023-11-06;feature_36;5;10,6;0;
U-873a2e;S-02508a;2024-02-23;feature_24;17;126,9;1;
U-4d7089;S-02508a;2023-02-10;feature_4;5;10,2;1;
U-d0caec;S-02508a;2024-10-15;feature_15;10;84,8;0;Beta
U-5dc08a;S-02508a;2023-03-08;feature_7;14;7,2;0;
U-d9b972;S-02508a;2023-02-06;feature_6;10;72,5;0;
U-e43fe7;S-025bea;2023-12-10;feature_17;7;34,7;0;
U-11f5ac;S-025bea;2024-07-31;feature_11;9;29,0;0;
U-5ed9c0;S-025bea;2023-11-24;feature_1;7;30,7;0;
U-5fbcde;S-025bea;2024-10-11;feature_4;5;36,0;0;
U-a7bc42;S-025bea;2023-05-19;feature_5;14;99,4;0;
U-9e92ec;S-025bea;2024-02-02;feature_19;13;99,9;0;
U-010479;S-0267b7;2023-02-01;feature_33;14;8,9;0;
U-889d61;S-0267b7;2024-12-22;feature_6;8;44,1;1;
U-039137;S-0267b7;2023-05-15;feature_3;10;76,8;1;
U-3cf873;S-0267b7;2024-11-05;feature_2;10;58,2;0;
U-5c0dbc;S-0267b7;2024-06-02;feature_5;7;62,8;0;
U-85d5a3;S-0268ba;2023-09-14;feature_12;13;113,5;0;
U-122bae;S-0268ba;2024-06-01;feature_38;8;30,3;0;
U-b6f075;S-0268ba;2023-01-09;feature_34;11;33,4;1;
U-f8784b;S-0268ba;2023-02-01;feature_30;14;39,4;2;
U-f4a73a;S-0268ba;2024-03-07;feature_7;9;7,2;0;Beta
U-b1a472;S-0268ba;2023-05-16;feature_23;12;2,2;2;
U-07dfc7;S-0268ba;2024-09-04;feature_40;10;56,2;0;
U-356139;S-027102;2023-11-04;feature_24;6;28,8;0;
U-17d45c;S-027102;2024-09-12;feature_18;15;2,5;0;
U-8184fd;S-027102;2023-12-02;feature_35;11;2,6;0;
U-9a5f52;S-0283b5;2023-02-02;feature_14;6;44,3;0;
U-2dd6ba;S-0283b5;2023-11-12;feature_8;11;62,9;0;
U-28eb1f;S-0283b5;2024-11-04;feature_26;8;68,0;0;
U-006ea2;S-0283b5;2023-06-05;feature_23;8;56,0;0;
U-596001;S-0283b5;2024-10-07;feature_28;14;10,5;0;
U-1ee689;S-028f5b;2023-11-19;feature_10;13;41,4;0;
U-bd6832;S-028f5b;2024-02-08;feature_25;9;13,5;0;
U-38a53e;S-028f5b;2024-10-07;feature_38;9;21,2;1;
U-0f6f88;S-028f5b;2023-08-27;feature_13;9;46,4;0;
U-ceb935;S-028f5b;2023-11-09;feature_32;14;26,4;0;
U-ce18a8;S-029065;2024-03-13;feature_34;12;38,8;0;
U-3a3c65;S-029065;2024-08-16;feature_22;10;83,8;0;
U-07c6f7;S-029065;2024-04-15;feature_37;9;76,7;0;
U-626fa5;S-029065;2023-03-06;feature_22;5;42,8;0;
U-379033;S-02949d;2024-11-14;feature_2;13;87,1;0;
U-d32bec;S-02949d;2023-02-18;feature_25;9;70,4;0;
U-082886;S-02949d;2024-01-18;feature_5;8;45,9;2;
U-d1eb2f;S-02949d;2024-02-22;feature_32;12;77,8;2;
U-9797fe;S-02949d;2023-07-03;feature_10;16;144,8;0;
U-651254;S-02949d;2023-01-04;feature_36;19;5,4;2;
U-10fcae;S-02949d;2023-11-22;feature_9;9;77,9;1;
U-baddf6;S-02949d;2023-09-25;feature_3;4;30,3;0;
U-10b0be;S-02984e;2023-06-12;feature_13;11;72,4;0;
U-f27287;S-02984e;2023-02-21;feature_13;9;7,2;0;Beta
U-c272c9;S-02984e;2023-04-28;feature_10;11;66,0;0;
U-75ffad;S-02984e;2024-09-28;feature_29;5;43,3;0;
U-bb3bea;S-02984e;2024-11-08;feature_38;10;78,2;0;
U-54dd9b;S-02984e;2023-02-21;feature_13;8;72,7;0;Beta
U-0d71ea;S-029c20;2023-02-27;feature_32;12;56,6;0;
U-9a2326;S-029c20;2024-01-23;feature_28;12;65,8;0;Beta
U-b21c05;S-029c20;2023-03-14;feature_32;8;27,3;0;
U-f6e65c;S-029c20;2023-07-25;feature_24;10;43,7;0;
U-1e57e9;S-029c20;2024-02-07;feature_28;7;51,6;0;
U-5a0393;S-029c20;2023-02-26;feature_34;9;74,6;4;
U-afadee;S-029c20;2023-01-28;feature_39;10;7,3;0;
U-8b15aa;S-02a3aa;2024-08-01;feature_28;11;35,8;0;
U-18e82e;S-02a3aa;2023-09-27;feature_38;12;76,2;1;
U-ae4b88;S-02a3aa;2024-11-18;feature_33;15;128,0;3;
U-7c13b6;S-02a3aa;2024-01-17;feature_8;11;40,2;0;
U-6798f4;S-02a3aa;2024-03-26;feature_3;6;19,5;2;
U-1f45a1;S-02a3aa;2024-12-25;feature_33;4;32,3;0;
U-4de472;S-02a3aa;2024-10-04;feature_16;7;36,4;1;
U-b25b52;S-02ab8b;2024-06-08;feature_7;13;119,6;0;
U-9b0924;S-02ab8b;2024-02-21;feature_22;14;86,3;0;
U-87dc75;S-02ab8b;2024-09-02;feature_35;12;76,0;0;Beta
U-023ee1;S-02ab8b;2023-06-30;feature_2;9;11,0;0;
U-45272b;S-02ab8b;2024-09-17;feature_35;4;16,3;1;
U-bcbd5a;S-02af5d;2024-08-30;feature_40;7;4,1;0;
U-265bfd;S-02af5d;2024-12-10;feature_22;13;117,9;0;
U-d65594;S-02af5d;2023-12-27;feature_34;9;14,1;0;
U-f47ec1;S-02b3a1;2023-09-11;feature_29;10;43,5;0;
U-f1ddab;S-02b3a1;2023-11-02;feature_6;8;10,9;2;
U-0b871b;S-02b3a1;2024-06-08;feature_37;11;3,3;0;
U-8ed51a;S-02b3a1;2023-08-27;feature_33;7;49,7;0;
U-fe86c7;S-02b3a1;2023-10-26;feature_2;9;68,7;0;
U-f4d275;S-02b754;2023-05-25;feature_35;14;45,5;0;
U-cab77b;S-02b754;2024-08-24;feature_29;6;37,6;0;
U-ea41bd;S-02b754;2024-01-25;feature_5;13;91,4;0;
U-a3dfe9;S-02b754;2023-02-04;feature_12;9;56,7;0;
U-305287;S-02b754;2023-12-26;feature_32;7;3,6;3;
U-e893ac;S-02b754;2023-07-25;feature_18;12;105,8;0;
U-896d90;S-02b754;2024-01-02;feature_33;7;13,1;0;
U-000529;S-02b754;2023-02-14;feature_29;12;29,4;0;
U-126cbf;S-02b754;2024-04-22;feature_24;16;61,1;0;
U-0e5b91;S-02b754;2023-02-24;feature_18;6;52,0;1;
U-f843a5;S-02b754;2024-08-02;feature_9;7;64,1;3;
U-1f169d;S-02b754;2023-04-21;feature_30;7;39,7;0;Beta
U-0bf6c1;S-02b754;2023-03-14;feature_3;7;65,3;1;
U-7fcbc3;S-02b754;2023-11-03;feature_31;15;11,5;2;
U-bc0b32;S-02be35;2023-03-26;feature_12;16;60,5;0;
U-0e36cd;S-02be35;2023-03-02;feature_40;8;7,7;0;
U-23713a;S-02be35;2024-01-14;feature_12;8;59,3;0;
U-ccdd45;S-02be35;2024-10-15;feature_36;11;28,2;0;
U-0cd54c;S-02be35;2024-01-13;feature_1;14;88,9;0;
U-f47688;S-02be35;2024-02-10;feature_24;12;67,4;0;
U-5ffe31;S-02be35;2024-10-25;feature_33;9;83,7;0;
U-873e14;S-02c3e7;2023-09-22;feature_32;11;58,5;1;
U-569a4a;S-02c3e7;2023-05-02;feature_26;10;9,5;2;Beta
U-566e0e;S-02c3e7;2024-06-03;feature_22;9;86,4;0;
U-0e2d52;S-02c3e7;2024-08-28;feature_26;5;38,2;0;Beta
U-2ee4dd;S-02c3e7;2023-06-29;feature_25;9;17,4;0;
U-9736ed;S-02c3e7;2024-10-18;feature_20;15;119,0;2;
U-7927a6;S-02c3e7;2024-05-02;feature_40;8;2,7;2;Beta
U-b473e5;S-02cde8;2024-07-07;feature_40;11;101,2;0;
U-2edeb6;S-02cde8;2024-02-02;feature_22;8;58,0;0;
U-b8b579;S-02cde8;2023-02-03;feature_25;13;59,8;0;
U-4df0d6;S-02cde8;2023-02-03;feature_40;4;13,3;2;
U-0d8e84;S-02cde8;2024-12-25;feature_8;8;71,7;0;
U-b91647;S-02cde8;2023-12-20;feature_9;11;20,5;1;
U-0ac981;S-02cde8;2024-07-31;feature_21;10;36,5;0;
U-b76b5b;S-02d46a;2023-08-12;feature_21;12;79,0;1;
U-8629d4;S-02d46a;2023-05-22;feature_5;13;30,1;1;
U-417821;S-02d46a;2023-09-17;feature_6;11;70,2;0;
U-7fa210;S-02d46a;2024-11-24;feature_10;5;40,0;0;
U-8b6f16;S-02d46a;2024-08-07;feature_8;11;48,2;0;
U-8ad63c;S-02d46a;2023-01-25;feature_26;6;1,2;2;
U-6c9375;S-02d46a;2024-06-03;feature_19;7;52,6;0;
U-eb4a83;S-02d6c8;2023-10-21;feature_17;11;57,2;0;
U-68bfc3;S-02d6c8;2024-12-09;feature_14;5;35,8;0;
U-14b229;S-02d6c8;2023-12-01;feature_33;11;101,4;0;
U-918641;S-02d6c8;2024-10-01;feature_15;16;56,8;0;
U-03499f;S-02d6c8;2023-02-09;feature_28;11;66,0;0;Beta
U-f42b0a;S-02ec76;2023-05-05;feature_8;7;69,3;0;
U-b8af91;S-02ec76;2023-05-01;feature_2;5;19,2;3;
U-3590f8;S-02ec76;2024-10-15;feature_26;9;20,7;0;
U-63a7fe;S-02ec76;2024-07-21;feature_18;9;0,9;0;
U-570693;S-02ec76;2023-06-16;feature_38;8;30,7;0;
U-931c77;S-02ec76;2023-04-18;feature_12;6;23,8;0;
U-b28aed;S-02ec76;2024-10-28;feature_36;10;4,0;0;
U-1e4948;S-02ec76;2023-07-16;feature_21;13;61,5;1;
U-39d76b;S-02ec76;2023-02-09;feature_26;11;65,5;0;
U-aae0de;S-03340d;2024-12-06;feature_10;11;4,8;3;
U-4da360;S-03340d;2023-06-16;feature_40;7;63,4;0;
U-ae6ffd;S-03340d;2024-12-23;feature_34;17;144,2;0;
U-3d6723;S-03340d;2024-10-10;feature_26;8;31,5;0;
U-8cb850;S-03340d;2023-03-12;feature_31;4;7,0;2;
U-68fbbe;S-03340d;2024-10-22;feature_9;12;56,8;0;
U-4e7051;S-03340d;2023-03-24;feature_18;21;199,9;0;
U-a0f89b;S-03340d;2023-08-03;feature_4;11;30,4;0;
U-2817e2;S-0334aa;2024-03-22;feature_39;12;98,4;2;
U-8ffbbe;S-0334aa;2024-11-03;feature_25;15;112,0;2;
U-d67e2f;S-0337da;2024-07-24;feature_15;9;84,6;0;
U-f7adc5;S-0337da;2023-08-04;feature_33;13;35,1;1;Beta
U-289287;S-0337da;2024-09-08;feature_18;11;48,2;0;
U-f8b029;S-0337da;2023-09-05;feature_35;14;103,4;0;
U-8f64a9;S-0337da;2023-05-08;feature_10;14;58,6;0;
